BOROUGH,LATITUDE,LONGITUDE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,IS_RUSH_HOUR,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,TARGET
MANHATTAN,40.823566,-73.93768,18,4,2,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
,40.625423,-74.14858,18,1,10,0,1,Driver Inattention/Distraction,Sedan,0
QUEENS,40.75671,-73.89506,11,0,4,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.605072,-73.94277,21,1,2,0,0,,,0
QUEENS,40.753437,-73.88783,16,1,12,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
,40.721233,-73.73634,17,3,7,0,1,Unsafe Lane Changing,Sedan,1
QUEENS,40.752975,-73.91024,19,3,5,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.67385,-73.89155,16,0,9,0,1,Failure to Yield Right-of-Way,,0
BROOKLYN,40.5880281,-73.9492523,16,1,10,0,1,Traffic Control Disregarded,PASSENGER VEHICLE,0
,40.83142,-73.92644,8,2,7,0,1,Glare,Sedan,1
BROOKLYN,40.6433049,-73.9477905,7,2,11,0,1,Unspecified,PASSENGER VEHICLE,0
MANHATTAN,40.7477733,-73.9850441,12,2,9,0,0,Oversized Vehicle,VAN,0
BROOKLYN,40.6314641,-74.0277916,15,3,2,0,0,Backing Unsafely,PASSENGER VEHICLE,0
,40.708782,-73.94344,12,5,8,1,0,Driver Inattention/Distraction,Bike,1
QUEENS,40.71256,-73.8971,6,5,11,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.6597445,-73.9170728,16,6,5,1,1,Failure to Yield Right-of-Way,PASSENGER VEHICLE,1
BROOKLYN,40.6343541,-73.9420113,17,2,2,0,1,Unspecified,UNKNOWN,0
MANHATTAN,40.7420255,-73.9829127,19,5,8,1,0,Unspecified,LIVERY VEHICLE,1
,40.748512,-73.98872,0,5,4,1,0,Turning Improperly,Taxi,1
QUEENS,40.7402725,-73.8958512,19,6,7,1,0,Turning Improperly,UNKNOWN,1
,,,23,0,1,0,0,Glare,PASSENGER VEHICLE,0
,,,21,6,9,1,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,0
,,,12,5,8,1,0,Driver Inattention/Distraction,Bike,1
MANHATTAN,40.716183,-73.98075,16,2,6,0,1,Accelerator Defective,Bike,1
MANHATTAN,40.747772,-73.985054,9,4,4,0,1,Failure to Yield Right-of-Way,Box Truck,0
MANHATTAN,40.7117796,-73.9997006,13,0,9,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0
,40.58193,-74.16725,15,0,12,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.701763,-73.80793,4,3,9,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,1
,,,10,1,6,0,0,Unspecified,UNKNOWN,0
BROOKLYN,40.631275,-73.97832,20,1,5,0,0,Unspecified,Bike,1
,40.714462,-73.98166,10,0,2,0,0,Driver Inattention/Distraction,Sedan,1
QUEENS,40.685375,-73.77968,15,4,7,0,0,Failure to Yield Right-of-Way,Sedan,1
,40.70694,-74.00901,5,3,3,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.718792,-73.98902,8,0,7,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
BRONX,40.8315,-73.888084,18,2,8,0,1,Driver Inattention/Distraction,,0
BROOKLYN,40.70972,-73.96177,17,5,8,1,1,Driver Inattention/Distraction,Sedan,1
,40.799957,-73.96053,21,0,3,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,0
MANHATTAN,40.72089,-73.99576,16,4,10,0,1,Failure to Yield Right-of-Way,Van,0
BROOKLYN,40.58681,-73.94385,11,6,11,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
BRONX,40.813572,-73.863045,15,0,10,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.6655483,-73.9536882,18,2,11,0,1,Aggressive Driving/Road Rage,UNKNOWN,0
MANHATTAN,40.7326034,-73.9876815,0,5,8,1,0,Passenger Distraction,TAXI,1
,40.604435,-73.99485,8,4,12,0,1,Unspecified,Sedan,0
BROOKLYN,40.6892183,-73.9176492,17,1,7,0,1,Passenger Distraction,OTHER,1
MANHATTAN,40.761036,-73.98702,20,3,5,0,0,Unspecified,Bike,1
,40.753784,-73.93203,12,5,10,1,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.639023,-73.941536,11,5,8,1,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.69663,-73.91857,17,4,8,0,1,Driver Inattention/Distraction,Sedan,1
MANHATTAN,40.8020241,-73.9496815,16,3,8,0,1,Backing Unsafely,VAN,0
BROOKLYN,40.653774,-73.95617,7,5,8,1,1,Unspecified,Station Wagon/Sport Utility Vehicle,1
,0.0,0.0,22,1,5,0,0,Unspecified,Taxi,0
,40.696033,-73.984535,19,2,8,0,0,Failure to Yield Right-of-Way,Sedan,0
BROOKLYN,40.597168,-73.97149,12,3,7,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.616043,-73.94484,16,2,1,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,0
BRONX,40.831875,-73.86636,12,3,5,0,0,Unspecified,Sedan,0
,40.866066,-73.89438,12,1,12,0,0,Backing Unsafely,Sedan,0
,,,23,4,7,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.760525,-73.97998,15,5,2,1,0,Unspecified,Bus,1
MANHATTAN,40.79576,-73.96281,19,1,8,0,0,Passenger Distraction,Taxi,1
BRONX,40.87361,-73.84867,5,0,12,0,0,Failure to Yield Right-of-Way,Sedan,0
,40.78884,-73.81381,17,1,10,0,1,Unspecified,Sedan,0
,40.748245,-73.976295,17,2,1,0,1,Driver Inattention/Distraction,Bike,1
MANHATTAN,,,20,3,7,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.591568,-73.98427,15,2,11,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.62987,-73.977005,12,0,6,0,0,Unspecified,Taxi,0
BROOKLYN,40.6397355,-73.9301124,20,0,9,0,0,Unspecified,PASSENGER VEHICLE,1
BRONX,40.882893,-73.8581,15,5,9,1,0,Lost Consciousness,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.6130524,-73.949118,7,0,7,0,1,Unspecified,SPORT UTILITY / STATION WAGON,1
BRONX,40.8071867,-73.9242798,16,0,8,0,1,Failure to Yield Right-of-Way,PASSENGER VEHICLE,1
BROOKLYN,40.6993917,-73.9193749,9,0,6,0,1,Unspecified,SPORT UTILITY / STATION WAGON,1
MANHATTAN,40.80925,-73.93599,16,1,7,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.810173,-73.95117,21,0,6,0,0,Driver Inattention/Distraction,Sedan,0
MANHATTAN,40.749542,-73.99473,20,3,10,0,0,Backing Unsafely,Taxi,1
,40.69467,-73.93115,9,0,2,0,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.6501081,-73.9302061,19,1,10,0,0,Traffic Control Disregarded,PASSENGER VEHICLE,0
QUEENS,40.73812,-73.70464,6,3,3,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
,40.689922,-73.92281,15,5,3,1,0,Driver Inattention/Distraction,Sedan,1
BROOKLYN,40.705826,-73.92124,15,3,9,0,0,Driver Inattention/Distraction,Bike,1
QUEENS,40.7484379,-73.876252,9,2,7,0,1,Driver Inattention/Distraction,LIVERY VEHICLE,1
QUEENS,40.7122849,-73.7853511,8,4,10,0,1,Glare,PASSENGER VEHICLE,0
,40.68708,-73.913895,2,5,6,1,0,Failure to Yield Right-of-Way,,0
,,,20,5,10,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle,1
QUEENS,40.6095362,-73.7537175,11,6,10,1,0,Driver Inattention/Distraction,BICYCLE,1
QUEENS,40.781694,-73.82224,21,1,4,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0
MANHATTAN,40.7591,-73.99214,23,3,5,0,0,Backing Unsafely,Taxi,0
,40.87465,-73.911095,0,3,1,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.582184,-73.958916,9,0,12,0,1,Failure to Yield Right-of-Way,Sedan,0
MANHATTAN,40.81275,-73.94558,0,6,11,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.82146,-73.9446,20,4,11,0,0,,,0
,,,9,5,2,1,1,Other Electronic Device,OTHER,0
BRONX,40.819786,-73.92803,14,0,4,0,0,Backing Unsafely,Sedan,0
,40.832558,-73.857346,19,5,6,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4 dr sedan,0
BRONX,40.8605215,-73.8925647,18,2,10,0,1,Unspecified,PASSENGER VEHICLE,0
QUEENS,40.7104457,-73.9026502,8,5,8,1,1,Unspecified,UNKNOWN,0
BROOKLYN,40.616062,-73.95561,20,4,7,0,0,Unspecified,Taxi,0
BRONX,40.80612,-73.91796,21,4,4,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.690918,-73.7623,14,4,7,0,0,Passing Too Closely,Bike,1
BRONX,40.848293,-73.82886,0,4,8,0,0,Failure to Yield Right-of-Way,Sedan,0
MANHATTAN,40.719204,-73.99037,23,6,12,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Dump,1
,40.679787,-73.93844,7,2,2,0,1,Failure to Yield Right-of-Way,Taxi,0
QUEENS,40.76041,-73.87485,18,6,1,1,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.682568,-73.79266,17,5,12,1,1,Unspecified,Sedan,0
,40.663754,-73.937164,21,2,5,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.74394,-73.85528,15,2,11,0,0,Unspecified,Taxi,0
BROOKLYN,40.6174829,-73.9648121,15,4,12,0,0,Unspecified,PASSENGER VEHICLE,1
BROOKLYN,40.6854089,-73.8727381,15,3,5,0,0,Unspecified,PASSENGER VEHICLE,0
BRONX,40.856842,-73.85915,21,0,10,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle,1
QUEENS,40.6831865,-73.8663028,8,2,1,0,1,Driver Inexperience,PASSENGER VEHICLE,0
QUEENS,40.772655,-73.90096,19,5,11,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.653575,-73.959452,19,3,11,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0
MANHATTAN,40.71399,-73.990845,22,3,9,0,0,Driver Inattention/Distraction,Sedan,1
BROOKLYN,40.640167,-73.95712,15,5,10,1,0,Failure to Yield Right-of-Way,Sedan,0
BRONX,40.836475,-73.88512,23,6,1,1,0,Traffic Control Disregarded,Sedan,0
BROOKLYN,40.60973,-74.00677,11,0,6,0,0,Driver Inattention/Distraction,Pick-up Truck,0
,40.761623,-73.97918,16,1,8,0,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,0
MANHATTAN,40.75112,-73.97127,19,2,9,0,0,Unspecified,Sedan,0
BROOKLYN,40.68416,-73.96907,19,4,10,0,0,Failure to Yield Right-of-Way,Sedan,1
QUEENS,,,9,1,11,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.760536,-73.95836,17,6,2,1,1,Driver Inattention/Distraction,,0
MANHATTAN,40.76687,-73.959785,22,3,3,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.664173,-73.95935,16,0,8,0,1,Aggressive Driving/Road Rage,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.672752,-73.95432,21,2,11,0,0,Pavement Slippery,Bike,1
MANHATTAN,40.776016,-73.95731,18,1,6,0,1,Passenger Distraction,Station Wagon/Sport Utility Vehicle,1
,40.701588,-73.88514,19,6,7,1,0,Passing Too Closely,Sedan,0
MANHATTAN,40.7864855,-73.9721726,12,6,12,1,0,Prescription Medication,TAXI,1
,40.777958,-73.90847,18,3,11,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.7418418,-73.8810025,5,2,9,0,0,Driver Inattention/Distraction,TAXI,1
QUEENS,40.6972195,-73.7799,21,5,5,1,0,Unspecified,VAN,0
,40.735924,-74.00073,23,4,1,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.618242,-73.9840682,18,4,11,0,1,Unspecified,PASSENGER VEHICLE,0
,40.66955,-73.94497,13,4,2,0,0,Unspecified,Sedan,0
BRONX,40.8777986,-73.8680486,8,0,3,0,1,Unspecified,UNKNOWN,0
BROOKLYN,40.72255,-73.94832,14,0,9,0,0,Unsafe Speed,Sedan,1
,40.715046,-73.992386,1,5,9,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike,1
BROOKLYN,40.5963,-73.959785,8,2,10,0,1,Driver Inattention/Distraction,Sedan,0
QUEENS,40.705566,-73.82906,15,4,7,0,0,Driver Inattention/Distraction,,0
MANHATTAN,40.824184,-73.93723,15,0,3,0,0,View Obstructed/Limited,Sedan,1
BRONX,40.8476674,-73.9010217,14,6,6,1,0,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.640343,-73.91367,18,2,11,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.636425,-74.00501,19,2,9,0,0,Unspecified,Sedan,1
,,,18,0,9,0,1,Driver Inattention/Distraction,Bike,1
,40.77044,-73.919495,17,3,1,0,1,Failure to Yield Right-of-Way,Sedan,0
MANHATTAN,40.79911,-73.96856,2,5,7,1,0,Traffic Control Disregarded,Taxi,1
BROOKLYN,40.7070105,-73.9465215,17,4,12,0,1,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.6524465,-73.9256087,11,5,7,1,0,Unspecified,UNKNOWN,0
MANHATTAN,40.7668758,-73.979076,13,0,8,0,0,Unspecified,PASSENGER VEHICLE,0
QUEENS,40.717995,-73.90211,19,5,1,1,0,Failure to Keep Right,Bike,1
,40.630066,-74.10912,7,5,7,1,1,Unspecified,Convertible,0
,,,19,4,6,0,0,Following Too Closely,Bike,1
,,,16,4,8,0,1,Unspecified,PASSENGER VEHICLE,1
BROOKLYN,40.6538055,-73.9306058,9,3,5,0,1,Unspecified,PASSENGER VEHICLE,1
MANHATTAN,40.773052,-73.96241,16,0,9,0,1,Accelerator Defective,Sedan,0
MANHATTAN,40.7360199,-73.9822683,20,1,3,0,0,Unspecified,TAXI,0
BROOKLYN,40.6324916,-73.9341443,23,1,8,0,0,Passenger Distraction,PASSENGER VEHICLE,1
QUEENS,40.743256,-73.89814,22,4,10,0,0,Failure to Yield Right-of-Way,Bike,1
QUEENS,40.711174,-73.90019,9,1,11,0,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike,1
BROOKLYN,40.60995,-73.999466,18,6,8,1,1,,,0
MANHATTAN,40.722298,-73.99713,17,5,2,1,1,,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.667336,-73.99124,9,3,4,0,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.714165,-74.00632,13,2,10,0,0,Fell Asleep,Sedan,0
MANHATTAN,40.751114,-73.98692,19,2,6,0,0,Backing Unsafely,Sedan,0
BRONX,40.852188,-73.8834836,15,6,6,1,0,View Obstructed/Limited,VAN,0
,40.72187,-73.84989,20,2,10,0,0,Unspecified,Bike,1
BROOKLYN,40.65073,-73.93029,0,5,3,1,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BRONX,40.846893,-73.92055,14,4,5,0,0,Listening/Using Headphones,4 dr sedan,1
BRONX,40.8595649,-73.8674268,13,1,3,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0
QUEENS,40.700367,-73.906624,9,2,4,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,0
STATEN ISLAND,40.6362786,-74.1402652,6,3,11,0,0,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.6761315,-73.9219014,10,0,8,0,0,Unspecified,PASSENGER VEHICLE,0
QUEENS,40.7528522,-73.8933989,21,2,2,0,0,Driver Inattention/Distraction,VAN,0
BROOKLYN,40.6505297,-73.9558249,8,0,6,0,1,Unspecified,PASSENGER VEHICLE,1
,40.643646,-73.989784,19,5,11,1,0,Unspecified,Station Wagon/Sport Utility Vehicle,1
,40.698143,-73.98555,8,4,10,0,1,Traffic Control Disregarded,Sedan,1
BROOKLYN,40.699482,-73.96104,23,5,12,1,0,Driver Inattention/Distraction,Sedan,0
QUEENS,40.7046097,-73.7970075,17,1,2,0,1,Unspecified,BUS,0
QUEENS,40.756226,-73.85771,16,0,11,0,1,Unspecified,Sedan,0
MANHATTAN,40.7608228,-73.9983142,5,4,9,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0
,40.605328,-73.990295,17,2,10,0,1,Failure to Yield Right-of-Way,Sedan,0
BROOKLYN,40.629505,-73.94416,20,2,12,0,0,Driver Inattention/Distraction,,0
BRONX,40.8136218,-73.9109492,8,1,7,0,1,Unspecified,PASSENGER VEHICLE,0
,40.853813,-73.90734,22,6,9,1,0,Driver Inattention/Distraction,Sedan,1
MANHATTAN,40.7552921,-73.9949215,9,1,6,0,1,Driver Inattention/Distraction,OTHER,0
BRONX,40.804256,-73.9193,7,1,6,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.75776,-73.7834,23,4,8,0,0,Unspecified,Sedan,0
BROOKLYN,40.62885,-73.98645,9,2,9,0,1,Driver Inattention/Distraction,Pick-up Truck,1
,40.84469,-73.90667,15,0,9,0,0,Failure to Yield Right-of-Way,,0
BROOKLYN,40.620872,-73.98843,11,0,7,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
BRONX,40.88592,-73.848175,9,6,6,1,1,Backing Unsafely,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.636353,-73.994318,16,1,3,0,1,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,1
MANHATTAN,40.790253,-73.94563,22,5,5,1,0,Outside Car Distraction,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.6792956,-73.9064236,16,1,8,0,1,Unspecified,PASSENGER VEHICLE,0
MANHATTAN,40.729427,-73.97801,11,2,9,0,0,Failure to Yield Right-of-Way,Sedan,0
MANHATTAN,40.70412,-74.0102,17,3,3,0,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,0
MANHATTAN,40.8228364,-73.9419157,15,2,11,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0
,40.716454,-74.01306,18,1,10,0,1,Unspecified,Taxi,0
,40.7606,-73.96434,16,4,8,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.66796,-73.87009,14,5,12,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.67887,-73.92165,23,6,10,1,0,Driver Inattention/Distraction,Sedan,0
,40.733433,-73.9955,19,0,12,0,0,Unsafe Speed,Taxi,1
,,,16,4,2,0,1,Other Vehicular,SPORT UTILITY / STATION WAGON,0
MANHATTAN,40.819046,-73.944695,21,4,6,0,0,Traffic Control Disregarded,4 dr sedan,1
QUEENS,40.75814,-73.93686,14,3,11,0,0,Passing Too Closely,Sedan,0
,40.63178,-73.945625,20,2,1,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BRONX,40.8797487,-73.8846612,12,6,10,1,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0
QUEENS,40.768257,-73.93203,7,4,11,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.76118,-73.95791,16,3,7,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.7429104,-73.9928041,9,1,12,0,1,Driver Inattention/Distraction,SMALL COM VEH(4 TIRES) ,0
MANHATTAN,40.7440655,-73.987748,20,0,6,0,0,Passenger Distraction,TAXI,1
,40.59281,-73.97877,20,0,10,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.814865,-73.959236,11,3,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,1
BROOKLYN,40.6277386,-73.9815658,21,5,1,1,0,Unspecified,SPORT UTILITY / STATION WAGON,0
BROOKLYN,40.6923571,-73.9428082,20,6,2,1,0,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.66925,-73.93943,9,5,11,1,1,Driver Inattention/Distraction,,0
BRONX,40.858368,-73.903915,12,5,6,1,0,Unspecified,4 dr sedan,1
BRONX,40.89963,-73.867584,8,4,2,0,1,Failure to Yield Right-of-Way,Sedan,0
BROOKLYN,40.638786,-73.94537,19,6,1,1,0,Failure to Yield Right-of-Way,Taxi,0
,40.877796,-73.86806,0,0,7,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
,40.72227,-73.9411,0,1,11,0,0,Unspecified,Bus,0
BROOKLYN,40.669205,-73.93873,13,1,5,0,0,Unspecified,Pick-up Truck,0
QUEENS,40.753017,-73.87165,18,4,5,0,1,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.8315678,-73.9429813,13,3,10,0,0,Prescription Medication,PASSENGER VEHICLE,1
QUEENS,40.749844,-73.883385,9,4,11,0,1,Driver Inattention/Distraction,Pick-up Truck,0
QUEENS,40.746353,-73.91617,3,2,10,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
,40.691456,-73.98735,11,0,8,0,0,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.6989727,-73.957019,3,0,1,0,0,Physical Disability,TAXI,1
BROOKLYN,40.64169,-73.963356,17,5,1,1,1,Unspecified,Sedan,0
MANHATTAN,40.755867,-73.998215,18,2,5,0,1,Driver Inattention/Distraction,,0
,40.84766,-73.83151,16,6,4,1,1,Failure to Yield Right-of-Way,Ambulance,0
BRONX,,,20,3,1,0,0,Driver Inattention/Distraction,Sedan,0
STATEN ISLAND,40.583119,-74.0926028,10,1,2,0,0,Other Vehicular,PASSENGER VEHICLE,0
,40.58634,-74.152466,14,3,4,0,0,Driver Inattention/Distraction,Sedan,0
QUEENS,40.7446585,-73.9485231,22,6,5,1,0,Traffic Control Disregarded,PASSENGER VEHICLE,1
QUEENS,40.74893,-73.95164,11,1,3,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,1
BRONX,40.809776,-73.92241,13,6,5,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.7929208,-73.9457844,14,0,8,0,0,Unspecified,SPORT UTILITY / STATION WAGON,1
BROOKLYN,40.609325,-73.99241,1,5,7,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.779804,-73.98448,19,5,6,1,0,Unspecified,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.8394827,-73.9360392,8,1,3,0,1,Driver Inattention/Distraction,PASSENGER VEHICLE,0
BROOKLYN,40.724636,-73.94818,15,3,1,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.646145,-73.90344,0,1,5,0,0,Turning Improperly,Sedan,0
BROOKLYN,40.6030973,-73.938538,18,5,12,1,1,Unspecified,SPORT UTILITY / STATION WAGON,0
BROOKLYN,40.680725,-73.87486,8,4,1,0,1,Driver Inattention/Distraction,Pick-up Truck,0
BROOKLYN,40.658394,-73.91557,14,3,10,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.678723,-73.9529869,1,5,10,1,0,Unsafe Speed,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.608562,-73.99414,17,6,9,1,1,Failure to Yield Right-of-Way,E-Bike,0
STATEN ISLAND,40.5903421,-74.0666242,19,4,8,0,0,Failure to Yield Right-of-Way,SPORT UTILITY / STATION WAGON,1
MANHATTAN,40.726635,-73.984955,21,4,4,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,1
,40.59624,-73.74622,6,2,9,0,0,Passing or Lane Usage Improper,Sedan,1
BROOKLYN,40.698772,-73.92233,21,5,5,1,0,Failure to Yield Right-of-Way,Bike,1
MANHATTAN,40.707058,-74.0044,17,2,2,0,1,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.6347489,-74.0175066,20,2,7,0,0,Failure to Yield Right-of-Way,SPORT UTILITY / STATION WAGON,0
,40.826283,-73.92566,22,5,9,1,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.696131,-73.9871041,20,0,4,0,0,Illness,PASSENGER VEHICLE,1
BROOKLYN,40.58345,-73.950386,19,5,9,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.757385,-73.98226,22,5,12,1,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
,,,22,5,1,1,0,Backing Unsafely,PASSENGER VEHICLE,0
MANHATTAN,40.810173,-73.937416,8,1,5,0,1,Unspecified,Bus,0
STATEN ISLAND,40.5558339,-74.1310528,19,1,4,0,0,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.6687091,-73.9173068,2,4,11,0,0,Unspecified,OTHER,1
,,,7,1,4,0,1,Unspecified,,0
STATEN ISLAND,40.5904238,-74.0805584,21,0,12,0,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,0
BROOKLYN,40.61901,-73.98686,23,4,1,0,0,Failure to Yield Right-of-Way,Sedan,0
BRONX,40.8401761,-73.9252686,18,2,8,0,1,Other Vehicular,SPORT UTILITY / STATION WAGON,1
BROOKLYN,40.678345,-73.985435,17,2,5,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
,,,14,2,12,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BRONX,40.84013,-73.8802991,20,0,10,0,0,Unspecified,SPORT UTILITY / STATION WAGON,1
BROOKLYN,40.700813,-73.95299,19,0,11,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.8049947,-73.9348695,8,4,9,0,1,Unspecified,UNKNOWN,0
MANHATTAN,40.804382,-73.93954,18,6,11,1,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,1
BROOKLYN,40.7246381,-73.9481706,8,0,7,0,1,Passenger Distraction,BICYCLE,1
QUEENS,40.709568,-73.79115,19,2,11,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
BRONX,40.80654,-73.92676,13,5,5,1,0,Other Vehicular,Station Wagon/Sport Utility Vehicle,1
BRONX,40.874302,-73.9093,12,1,8,0,0,Unsafe Lane Changing,Ambulance,1
,40.87229,-73.91269,22,6,5,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,1
QUEENS,40.713177,-73.91978,15,4,8,0,0,View Obstructed/Limited,Sedan,1
